"","playDispNm","blkPerGame","trbPerGame","stlPerGame","toPerGame","astPerGame","ptsPerGame","teamWins","mvpScore"
"111","Zach Randolph",0.169491525423729,6.72881355932203,0.711864406779661,1.96610169491525,2.15254237288136,14.5254237288136,18,43.2101694915254
"112","Nicolas Batum",0.362068965517241,4.82758620689655,1.08620689655172,1.96551724137931,5.5,11.7931034482759,25,43.0155172413793
"113","Brook Lopez",1.41791044776119,3.97014925373134,0.417910447761194,1.35820895522388,1.76119402985075,13.2537313432836,32,42.9402985074627
"114","Rodney Hood",0.214285714285714,2.82142857142857,0.714285714285714,1.25,1.57142857142857,15.0178571428571,26,42.9
"115","Reggie Jackson",0.0789473684210526,2.78947368421053,0.552631578947368,2.34210526315789,5.10526315789474,14.2631578947368,23,42.8815789473684
"116","Bobby Portis",0.283582089552239,6.80597014925373,0.671641791044776,1.34328358208955,1.74626865671642,13.1492537313433,23,42.3164179104478
"117","Markieff Morris",0.545454545454545,5.72727272727273,0.787878787878788,1.74242424242424,1.92424242424242,11.6515151515152,35,42.1060606060606
"118","James Johnson",0.691176470588235,4.95588235294118,0.955882352941177,1.92647058823529,3.83823529411765,10.6764705882353,35,41.9926470588235
"119","Willie Cauley-Stein",0.895522388059702,6.85074626865672,1.1044776119403,1.50746268656716,2.32835820895522,12.3283582089552,20,41.9283582089552
"120","Dwyane Wade",0.67741935483871,3.82258064516129,0.919354838709677,2.06451612903226,3.40322580645161,11.5645161290323,35,41.85
"121","Tyler Johnson",0.454545454545455,3.36363636363636,0.833333333333333,1.10606060606061,2.28787878787879,11.9242424242424,36,41.8015151515151
"122","Taurean Prince",0.539473684210526,4.81578947368421,1.03947368421053,2.28947368421053,2.44736842105263,13.75,21,41.7355263157895
"123","Marcus Smart",0.425925925925926,3.5,1.31481481481481,2.38888888888889,4.7962962962963,10.1851851851852,38,41.6092592592593
"124","Malcolm Brogdon",0.282608695652174,3.30434782608696,0.891304347826087,1.41304347826087,3.23913043478261,13.2608695652174,24,41.55
"125","Al-Farouq Aminu",0.555555555555556,7.53968253968254,1.14285714285714,1.0952380952381,1.23809523809524,9.49206349206349,38,41.2793650793651
"126","Elfrid Payton",0.349206349206349,4.34920634920635,1.3015873015873,2.66666666666667,6.23809523809524,12.6507936507937,13,41.1793650793651
"127","Ryan Anderson",0.328125,5.109375,0.375,0.671875,0.9375,9.609375,51,41.1375
"128","Kent Bazemore",0.692307692307692,3.8,1.53846153846154,2.41538461538462,3.50769230769231,12.8615384615385,19,40.7646153846154
"129","Fred VanVleet",0.257142857142857,2.48571428571429,0.942857142857143,0.971428571428571,3.15714285714286,8.74285714285714,52,40.62
"130","Danilo Gallinari",0.333333333333333,4.52380952380952,0.571428571428571,1.19047619047619,1.95238095238095,14.952380952381,12,40.5904761904762
"131","Buddy Hield",0.283783783783784,3.82432432432432,0.959459459459459,1.51351351351351,1.85135135135135,13.3243243243243,24,40.5689189189189
"132","Rajon Rondo",0.169491525423729,3.91525423728814,1.01694915254237,2.20338983050847,7.91525423728814,8.16949152542373,36,40.4169491525424
"133","Ishmael Smith",0.226666666666667,2.77333333333333,0.786666666666667,1.32,4.29333333333333,10.76,35,40.3973333333333
"134","Jonathon Simmons",0.246376811594203,3.47826086956522,0.826086956521739,2.11594202898551,2.47826086956522,13.9420289855072,21,40.2434782608696
"135","Avery Bradley",0.173913043478261,2.52173913043478,1.10869565217391,2.19565217391304,2.04347826086957,14.2608695652174,22,40.1847826086957
"136","Lance Stephenson",0.171052631578947,4.97368421052632,0.592105263157895,1.67105263157895,2.81578947368421,9.38157894736842,45,40.1434210526316
"137","Dion Waiters",0.3,2.56666666666667,0.733333333333333,2.33333333333333,3.76666666666667,14.3,16,39.6733333333333
"138","Caris LeVert",0.307692307692308,3.66153846153846,1.10769230769231,2.15384615384615,4.06153846153846,12.1230769230769,22,39.6523076923077
"139","Dirk Nowitzki",0.56,5.69333333333333,0.56,0.68,1.57333333333333,12.0533333333333,23,39.62
"140","Marcin Gortat",0.746666666666667,7.64,0.493333333333333,1.21333333333333,1.86666666666667,8.50666666666667,41,39.6186666666667
"141","Wilson Chandler",0.536231884057971,5.30434782608696,0.594202898550725,1.30434782608696,2.21739130434783,10.1014492753623,37,39.6057971014493
"142","Michael Beasley",0.579710144927536,5.69565217391304,0.449275362318841,1.95652173913043,1.63768115942029,13.0289855072464,22,39.5840579710145
"143","Pascal Siakam",0.513513513513513,4.52702702702703,0.756756756756757,0.837837837837838,1.93243243243243,7.40540540540541,55,39.4054054054054
"144","Jeff Green",0.402777777777778,3.20833333333333,0.527777777777778,0.944444444444444,1.30555555555556,10.6111111111111,43,39.3805555555556
"145","Rudy Gay",0.647058823529412,5.11764705882353,0.745098039215686,1.43137254901961,1.27450980392157,11.078431372549,33,39.3470588235294
"146","Wesley Matthews",0.253968253968254,3.14285714285714,1.20634920634921,1.33333333333333,2.73015873015873,12.7301587301587,20,39.3079365079365
"147","Isaiah Thomas",0.0909090909090909,2.03030303030303,0.454545454545455,2.87878787878788,4.63636363636364,14.7272727272727,15,39.230303030303
"148","Jose Barea",0.0447761194029851,2.94029850746269,0.507462686567164,2.08955223880597,6.35820895522388,11.6716417910448,22,39.2179104477612
"149","Wayne Ellington",0.0845070422535211,2.90140845070423,0.661971830985915,0.71830985915493,1.08450704225352,11.2535211267606,39,39.1549295774648
"150","Jae Crowder",0.243243243243243,3.47297297297297,0.72972972972973,0.932432432432432,1.22972972972973,9.59459459459459,47,39.0405405405405
"151","P.J. Tucker",0.302631578947368,5.47368421052632,1.01315789473684,0.894736842105263,0.894736842105263,6.13157894736842,62,38.9697368421053
"152","Justin Holiday",0.462686567164179,4.14925373134328,1.07462686567164,1.29850746268657,2.07462686567164,12.1194029850746,22,38.8537313432836
"153","Courtney Lee",0.208333333333333,2.93055555555556,1.08333333333333,1.15277777777778,2.43055555555556,11.9305555555556,26,38.825
"154","Dejounte Murray",0.373333333333333,5.6,1.14666666666667,1.65333333333333,2.89333333333333,7.76,44,38.8186666666667
"155","Kyle Anderson",0.764705882352941,5.5,1.54411764705882,1.35294117647059,2.75,7.92647058823529,38,38.7455882352941
"156","Allen Crabbe",0.434782608695652,4.28985507246377,0.608695652173913,1.05797101449275,1.53623188405797,12.6666666666667,21,38.331884057971
"157","C.J. Miles",0.301587301587302,2.0952380952381,0.571428571428571,0.492063492063492,0.73015873015873,10.2063492063492,46,38.2095238095238
"158","Trey Lyles",0.470588235294118,4.80882352941176,0.441176470588235,0.867647058823529,1.25,10.3235294117647,36,38.2
"159","Montrezl Harrell",0.671428571428571,3.95714285714286,0.457142857142857,0.871428571428571,0.842857142857143,10.5714285714286,38,38.1885714285714
"160","John Henson",1.44285714285714,6.85714285714286,0.528571428571429,1.17142857142857,1.44285714285714,8.75714285714286,36,38.1557142857143
"161","Patrick Mills",0.144736842105263,1.88157894736842,0.684210526315789,1.28947368421053,2.73684210526316,9.80263157894737,44,38.1421052631579
"162","Ersan Ilyasova",0.370967741935484,5.56451612903226,0.919354838709677,1.01612903225806,1.24193548387097,10.5322580645161,29,38.0854838709677
"163","Cory Joseph",0.223684210526316,3.34210526315789,1.01315789473684,1.01315789473684,3.15789473684211,7.98684210526316,45,37.9434210526316
"164","Larry Nance Jr.",0.583333333333333,7.03333333333333,1.41666666666667,0.816666666666667,1.33333333333333,9.01666666666667,28,37.9283333333333
"165","Frank Kaminsky",0.287671232876712,3.61643835616438,0.479452054794521,0.808219178082192,1.6027397260274,10.972602739726,33,37.8054794520548
"166","Jamal Crawford",0.0933333333333333,1.2,0.533333333333333,1.18666666666667,2.32,10.6266666666667,42,37.7333333333333
"167","Bogdan Bogdanovic",0.222222222222222,2.81944444444444,0.930555555555556,1.59722222222222,3.30555555555556,11.75,23,37.6319444444444
"168","Josh Jackson",0.432432432432432,4.48648648648649,1,1.86486486486486,1.51351351351351,12.7027027027027,18,37.6027027027027
"169","Delon Wright",0.5,2.74193548387097,1.04838709677419,1.14516129032258,2.87096774193548,8.17741935483871,45,37.5790322580645
"170","Denzel Valentine",0.157894736842105,5.15789473684211,0.855263157894737,1.27631578947368,3.17105263157895,10.2368421052632,25,37.5302631578947
"171","Marco Belinelli",0.10958904109589,1.79452054794521,0.767123287671233,1.04109589041096,1.82191780821918,11.5342465753425,32,37.2739726027397
"172","Jeremy Lin",0,0,0,3,4,18,0,37.2
"173","Shabazz Napier",0.205882352941176,2.25,1.13235294117647,1.25,2.08823529411765,8.80882352941176,44,36.8838235294118
"174","Gerald Green",0.342857142857143,3.05714285714286,0.571428571428571,0.571428571428571,0.6,11.5142857142857,30,36.7771428571429
"175","Reggie Bullock",0.220338983050847,2.42372881355932,0.76271186440678,0.779661016949153,1.54237288135593,11.2203389830508,30,36.7542372881356
"176","Jakob Pöltl",1.30666666666667,4.76,0.44,1,0.733333333333333,6.72,55,36.6986666666667
"177","Robin Lopez",0.841269841269841,4.55555555555556,0.222222222222222,1.66666666666667,1.92063492063492,11.9047619047619,22,36.6222222222222
"178","J.R. Smith",0.135135135135135,2.94594594594595,0.878378378378378,1,1.81081081081081,8.31081081081081,45,36.195945945946
"179","De'Aaron Fox",0.253731343283582,2.55223880597015,0.955223880597015,2.35820895522388,4.26865671641791,11.2835820895522,21,36.1626865671642
"180","Danny Green",1.171875,3.578125,0.875,1.03125,1.5625,8.8125,37,36.125
"181","Evan Turner",0.356164383561644,3.15068493150685,0.547945205479452,1.24657534246575,2.21917808219178,8.10958904109589,46,35.9534246575342
"182","Luc Richard Mbah a Moute",0.464285714285714,3.125,1,1.17857142857143,0.928571428571429,7.67857142857143,49,35.6464285714286
"183","John Collins",1.08823529411765,7.17647058823529,0.617647058823529,1.38235294117647,1.16176470588235,10.3529411764706,18,35.5264705882353
"184","Jerami Grant",0.894736842105263,3.98684210526316,0.381578947368421,0.723684210526316,0.723684210526316,8.21052631578947,44,35.3802631578947
"185","George Hill",0.384615384615385,2.73846153846154,0.892307692307692,1.33846153846154,2.8,10.1230769230769,27,35.2753846153846
"186","David West",1.07575757575758,3.34848484848485,0.621212121212121,1.12121212121212,1.84848484848485,7.01515151515152,48,35.1560606060606
"187","Patrick Beverley",0.454545454545455,4.09090909090909,1.72727272727273,2.27272727272727,2.90909090909091,12.1818181818182,5,35.1454545454545
"188","Andre Iguodala",0.603174603174603,3.84126984126984,0.857142857142857,1.06349206349206,3.26984126984127,6.03174603174603,46,34.9269841269841
"189","Marvin Williams",0.458333333333333,4.77777777777778,0.722222222222222,0.861111111111111,1.13888888888889,9.19444444444444,31,34.9194444444444
"190","Kyle Korver",0.376811594202899,2.21739130434783,0.391304347826087,0.710144927536232,1.21739130434783,9.40579710144928,40,34.9144927536232
"191","Milos Teodosic",0.111111111111111,2.8,0.511111111111111,2.15555555555556,4.64444444444444,9.53333333333333,29,34.84
"192","T.J. McConnell",0.159420289855072,3.08695652173913,1.23188405797101,1.6231884057971,4.08695652173913,6.40579710144928,43,34.7478260869565
"193","Yogi Ferrell",0.105263157894737,3.21052631578947,0.815789473684211,1,2.40789473684211,10.4473684210526,23,34.6763157894737
"194","Michael Kidd-Gilchrist",0.441176470588235,4.14705882352941,0.676470588235294,0.661764705882353,0.985294117647059,9.20588235294118,32,34.5441176470588
"195","Greg Monroe",0.477272727272727,6.75,0.795454545454545,1.86363636363636,2.02272727272727,9.93181818181818,18,34.5113636363636
"196","JaMychal Green",0.454545454545455,8.45454545454546,0.581818181818182,1.41818181818182,1.43636363636364,10.3454545454545,11,34.26
"197","Dewayne Dedmon",0.789473684210526,7.82456140350877,0.684210526315789,1.43859649122807,1.3859649122807,9.78947368421053,15,34.2035087719298
"198","Trey Burke",0.133333333333333,1.76666666666667,0.6,1.1,4.06666666666667,12.4,8,34.04
"199","Mason Plumlee",1.10294117647059,5.55882352941176,0.691176470588235,1.45588235294118,2,7.23529411764706,35,33.875
"200","Tomáš Satoranský",0.181818181818182,3,0.742424242424242,1.10606060606061,3.92424242424242,7.09090909090909,37,33.5530303030303
"201","Ed Davis",0.684210526315789,7.38157894736842,0.407894736842105,0.828947368421053,0.526315789473684,5.39473684210526,47,33.5302631578947
"202","Joe Harris",0.246575342465753,3.38356164383562,0.452054794520548,1.13698630136986,1.56164383561644,10.5753424657534,24,33.5301369863014
"203","Manu Ginóbili",0.266666666666667,2.13333333333333,0.666666666666667,1.56666666666667,2.45,8.76666666666667,36,33.3266666666667
"204","Aron Baynes",0.635135135135135,5.28378378378378,0.243243243243243,1,1.09459459459459,5.68918918918919,51,33.2702702702703
"205","Justise Winslow",0.5,5.43548387096774,0.774193548387097,1.11290322580645,2.14516129032258,7.51612903225806,30,32.9870967741935
"206","Nick Young",0.0958904109589041,1.45205479452055,0.479452054794521,0.534246575342466,0.452054794520548,7.36986301369863,52,32.8917808219178
"207","D.J. Augustin",0,2.14705882352941,0.75,1.61764705882353,3.86764705882353,10.1029411764706,20,32.7779411764706
"208","Stanley Johnson",0.209677419354839,3.67741935483871,1.30645161290323,1.09677419354839,1.5,8.33870967741935,29,32.7532258064516
"209","Raymond Felton",0.155844155844156,1.90909090909091,0.61038961038961,0.909090909090909,2.53246753246753,7.05194805194805,44,32.7207792207792
"210","Jabari Parker",0.4,4.04,0.68,1.2,1.88,10.96,13,32.64
"211","Emmanuel Mudiay",0.147540983606557,2.40983606557377,0.672131147540984,1.75409836065574,3.31147540983607,8.9672131147541,28,32.3065573770492
"212","Tyrone Wallace",0.458333333333333,3.70833333333333,0.916666666666667,1.29166666666667,2.33333333333333,9.91666666666667,16,32.1583333333333
"213","Mike Scott",0.144927536231884,3.14492753623188,0.318840579710145,1.07246376811594,1,8.52173913043478,37,32.0797101449275
"214","Darius Miller",0.210526315789474,2,0.302631578947368,0.723684210526316,1.35526315789474,7.72368421052632,43,32.0118421052632
"215","Dillon Brooks",0.210526315789474,3.01315789473684,0.828947368421053,1.43421052631579,1.44736842105263,10.1710526315789,21,31.7881578947368
"216","Dwight Powell",0.378378378378378,5.58108108108108,0.824324324324324,0.743243243243243,1.09459459459459,8.36486486486486,22,31.6067567567568
